device_id,session_id,track_id,track_id_imgs,top1_imgs,top1,top1_prob_mean,top1_prob_weighted,start_time,end_time,duration_s,det_conf_mean,bbox_length_mean,bbox_width_mean
insdet-cam01,1,1,28,17,hfly_syrphus,0.55,0.33,2026-04-16T18:38:39.077759,2026-04-16T18:39:35.371311,56,0.92,0.114,0.084
insdet-cam01,1,2,29,29,hfly_episyr,0.98,0.98,2026-04-16T18:38:36.943605,2026-04-16T18:39:35.371311,58,0.91,0.113,0.056
insdet-cam01,1,3,29,29,wasp,1.0,1.0,2026-04-16T18:38:36.943605,2026-04-16T18:39:35.371311,58,0.94,0.14,0.068
insdet-cam01,1,4,29,29,bee_bombus,1.0,1.0,2026-04-16T18:38:36.943605,2026-04-16T18:39:35.371311,58,0.92,0.139,0.087
insdet-cam01,1,6,29,29,hfly_eristal,0.72,0.72,2026-04-16T18:38:36.943605,2026-04-16T18:39:35.371311,58,0.91,0.101,0.054
