device_id,session_id,timestamp,rpi_cpu_temp,rpi_cpu_usage_avg,rpi_cpu_usage_sum,rpi_ram_usage,rpi_ram_available,oak_chip_temp,oak_cpu_usage_css,oak_cpu_usage_mss,oak_ram_usage_ddr,oak_ram_available_ddr,oak_ram_usage_css,oak_ram_available_css,oak_ram_usage_mss,oak_ram_available_mss,oak_ram_usage_cmx,oak_ram_available_cmx,power_input,charge_level,voltage_in_V,voltage_out_V,current_out_A,temp_wittypi
insdet-cam01,1,2026-04-16T18:38:38.389706,56.9,0.0,0.0,79.8,84,50.0,11.0,14.7,43.2,189.2,30.3,55.9,25.1,28.5,99.9,0.0,USB_C_IN,USB_C_IN,4.49,5.12,0.79,47.4
insdet-cam01,1,2026-04-16T18:38:48.466595,56.4,13.8,55.1,77.2,95,50.8,13.2,18.4,43.2,189.2,30.3,55.9,25.1,28.5,99.9,0.0,USB_C_IN,USB_C_IN,4.49,5.18,0.64,47.2
insdet-cam01,1,2026-04-16T18:38:58.483064,55.8,5.5,21.9,76.1,99,50.9,11.7,15.8,43.2,189.2,30.3,55.9,25.1,28.5,99.9,0.0,BATTERY_IN,100,4.24,5.19,0.86,47.1
insdet-cam01,1,2026-04-16T18:39:08.510306,55.8,7.8,31.0,77.0,96,51.2,11.2,16.3,43.2,189.2,30.3,55.9,25.1,28.5,99.9,0.0,USB_C_IN,USB_C_IN,4.42,5.17,0.7,47.2
insdet-cam01,1,2026-04-16T18:39:18.536939,55.3,5.8,23.0,74.9,104,51.4,12.9,16.0,43.2,189.2,30.3,55.9,25.1,28.5,99.9,0.0,USB_C_IN,USB_C_IN,4.42,5.18,0.81,47.1
insdet-cam01,1,2026-04-16T18:39:28.551357,54.8,5.8,23.1,76.1,100,51.4,12.0,18.4,43.2,189.2,30.3,55.9,25.1,28.5,99.9,0.0,USB_C_IN,USB_C_IN,4.42,5.25,0.6,47.0
